ticker,n_months,rho_ols,rho_mu,h_ols_days,h_mu_days,s_x,sigma_V_daily
LNC,147,0.8474429388351721,0.8684842689984567,87.93532940057732,103.2304354919359,0.472282654524302,0.06179820937970336
LNT,102,0.9774471576753416,0.995,638.1158500210598,2903.9340327072778,0.21371875476200108,0.009855826370946617
LOW,175,0.9275642388869336,0.9454787817039219,193.582473336011,259.6342445129038,0.22087146373681987,0.01703999826031497
LRCX,164,0.9618739252275389,0.985833976222127,374.46314372656957,1020.2400400194639,0.6308168791627854,0.03540268416453428
LUV,126,0.921971724755668,0.9498795180021521,179.17234387360136,283.0815877226422,0.7870744896791871,0.07978279783269498
M,118,0.9163055278479507,0.9439442076633516,166.53532568389275,252.32346640070415,0.6368202663156836,0.04754031907775381
MAA,78,0.9485137937211566,0.995,275.3761019791211,2903.9340327072778,0.1707049633197026,0.014006838510632507
MAC,105,0.9164033069476789,0.950012752363833,166.73888034557234,283.8558390622208,0.8923715831602489,0.07743736343952912
MAR,124,0.9570781261764892,0.9907605849532112,331.7986416909416,1568.144931739895,0.456133892293459,0.03358360672347524
MAS,138,0.8734383180845121,0.8950885566131913,107.56969436034636,131.33399567455308,0.5009627111791223,0.04654089508232752
MAT,90,0.8800031282066431,0.9206413391885659,113.8708570773365,176.04324678244478,0.27288853741605934,0.04334737286554506
MCD,176,0.923214769059136,0.9409970300752796,182.1939409468907,239.3491746255995,0.16097609871198387,0.013298029882434696
MCHP,179,0.8937757919689594,0.910839505584151,129.61752782993418,155.86586896950558,0.6644642695125574,0.06641652688832668
MCK,102,0.8409021801799377,0.8700546931262608,84.00332338581967,104.57021599535504,0.6883355302683287,0.10906787687687432
MCO,176,0.886466879944542,0.9034011706828408,120.7858920030411,143.28474393372258,0.28604308045438626,0.02744726001902546
MDT,115,0.8406311255723135,0.8651336641973586,83.84732423289896,100.4760426729408,0.2352592183337018,0.029076201691754323
MHK,143,0.9749475779052428,0.995,573.7164681808039,2903.9340327072778,0.6078004233918881,0.050012514923581206
MKC,162,0.9759886984460808,0.995,598.9107895773508,2903.9340327072778,0.35852945872956293,0.017485555171328687
MLM,110,0.9240485909724143,0.9600998585145539,184.2761911576065,357.48557668078473,0.2980847048678715,0.022216602932708444
MMM,158,0.9648827722644175,0.9893221853555478,407.1785891474107,1355.9177236907333,0.19941944961631142,0.01670154375416574
MNST,164,0.9739926649627534,0.995,552.3817377801548,2903.9340327072778,0.4467749038506448,0.010449301187357329
MO,118,0.9623138699202799,0.995,378.9206631313343,2903.9340327072778,0.30269721280488143,0.027354705633268882
MOS,83,0.8637298116643062,0.9038993650178987,99.36218479748993,144.06658209288594,0.5843818178445384,0.06099290423400483
MRK,176,0.8485029703404221,0.8642546297280115,88.60446024858521,99.7758995277515,0.7678638625995448,0.08956995325809008
MS,140,0.8970969697954255,0.9191977929302789,134.04470111394465,172.7644838299574,0.39052288924499273,0.04808109484488426
MSFT,177,0.9499978393610485,0.969046669045347,283.76897161571327,462.9430843609295,0.3664497532848902,0.024590439879246778
MSI,90,0.8833158738383312,0.9240494890672599,117.3193160639569,184.27845854760102,0.7851025717916364,0.04113233959334291
MTB,176,0.9453652539697623,0.9640866141712054,259.07932979881457,397.9886039192794,0.32748711614468917,0.015401205176989691
MTCH,63,0.8542550031434786,0.9090601801168899,92.40464499623559,152.66921360640396,0.5717199192649964,0.057312813210672574
MTD,164,0.9026345847361432,0.9214586651751608,142.09732049928002,177.95306581215883,0.13397222214094764,0.012610151646759528
MTG,128,0.9162206796176434,0.9438553296051454,166.35907504408257,251.91228740990002,0.56418549459406,0.03694474187798048
MU,75,0.9146588426230109,0.9597079864578076,163.17731399701844,353.93698320901075,0.761916760251167,0.07812315722028304
MUR,66,0.8520251490781295,0.9066095371184574,90.89646769984395,148.46575794295154,0.23072751369496863,0.08315587096494903
NC,96,0.8765939165000973,0.9079423600820101,110.51501522677664,150.72414047814257,0.36509232964476374,0.03344247370445699
NDSN,163,0.8949738769077766,0.9138367586324462,131.18234087325501,161.5488758761263,0.15573473250417744,0.015008889906148128
NEE,143,0.9815666533338461,0.995,782.3601600748881,2903.9340327072778,0.929451101080369,0.03793581328262501
NI,90,0.9625693919778922,0.995,381.55770948652173,2903.9340327072778,0.5906506232191638,0.04183367019445085
NKE,177,0.9746088295293298,0.995,565.9644791086924,2903.9340327072778,0.6662863532251411,0.026923310122885458
NOC,177,0.9444101323883369,0.9630899865388541,254.50049325489465,387.0433231814679,0.30493081599701194,0.022287801487850843
NOV,69,0.9552190559583503,0.995,317.71738645902866,2903.9340327072778,0.2984775206101979,0.06364585693061867
NSC,174,0.8986364467971222,0.9157862306686451,136.19514424399605,165.46217896027557,0.28311211404869596,0.02649245595228273
NTAP,83,0.8579522445373275,0.8978913955404263,95.00940547530985,135.14631857437476,0.24963711882171996,0.03738857715538702
NTRS,177,0.9677500342470325,0.9892957044750482,444.0343229234728,1352.5453096390463,0.23540078543400986,0.014897992848611291
NUE,170,0.9566943115550082,0.9798431758770073,328.79247582206204,714.839329322193,0.7973453586415168,0.03727302583667328
NVDA,169,0.9618183263142331,0.9857695194269412,373.90712583249774,1015.5857511782395,1.2180073092060548,0.07721347245862151
NVR,164,0.9848972577590605,0.995,956.5079857580969,2903.9340327072778,0.4560495415631279,0.014544542503530135
NWL,90,0.9850522695728822,0.995,966.5030774178365,2903.9340327072778,0.6953078523178067,0.05056268492152453
NYT,149,0.8530890088423879,0.8741316830690572,91.61031877946274,108.20421639222234,0.7794832847390585,0.09173770673246986
ODFL,164,0.9763870208033683,0.995,609.1374532112228,2903.9340327072778,0.33779851642687386,0.01579469657535197
OKE,177,0.9329713964161196,0.95101874582675,209.80017766192705,289.83780577199263,0.46348333575460515,0.02337002971112
OMC,177,0.959711615851638,0.9799121052323485,353.96953247788394,717.3173640934734,0.230084083286259,0.013415283071567951
ORCL,178,0.917194121772704,0.934793274939654,168.40283836736242,215.87006904274594,0.3376726268308114,0.029077740739963432
ORLY,170,0.9567862205227153,0.9799388095939424,329.5074761213281,718.281971770497,0.24245875904079725,0.011672840432570815
OXY,60,0.8956827473217834,0.9577774283311866,132.12509947419574,337.416292755987,0.45584595035360786,0.07165944609344756
PAYX,178,0.8288188353276558,0.8444265338237003,77.52759178408972,86.08103212675748,0.092621457734657,0.012376836324318068
PBI,120,0.9332383200775873,0.9625639596193902,210.66877379021446,381.50127181753226,0.6252249756477246,0.05434714837542638
PCAR,176,0.926379428023072,0.9442579368127104,190.34691181012764,253.78536024567023,0.5133962611607503,0.0296963078091257
PCG,105,0.8594417061080025,0.8896265602254695,96.09739050002915,124.46049794280549,0.5426908407857352,0.06586170279435531
PEG,138,0.9049325465998398,0.9272530898576546,145.71409393323256,192.72256698654576,0.34011886233308586,0.0327934738889809
PEP,177,0.8554492634530105,0.8711480849692554,93.23148161621768,105.52227513506409,0.19560830160366172,0.024326260199278867
PFE,168,0.9265460737758089,0.9472292995041516,190.79569433426832,268.4927992835388,0.4263641842927839,0.041735781831249624
PG,120,0.923240886076838,0.951542609701178,182.25847539558768,293.05119669557234,0.40451310752104325,0.03134949395841118
PGR,176,0.9677465268199258,0.9892910774171798,443.98523591563634,1351.9577526308765,0.558329488205766,0.030288183247162717
